Title,Signatures,Policy Areas
Formally Recognize The Ku Klux Klan As A Terrorist Organization,"115,605","Civil Rights & Equality, Gun Violence, Homeland Security & Defense"
Rescind the decision to deploy THAAD antimissile system in South Korea.,"106,754",Foreign Policy
August 15th is NOT Independence Day For Sikhs. SUPPORT the Liberation of Indian Occupied Punjab to Create &quot;KHALISTAN&quot;.,"104,025",Foreign Policy
No Respite for Highly-skilled Americans-in-Waiting. Need Portable Work Authorization & Recapture 500K Green Cards,"102,559","Civil Rights & Equality, Homeland Security & Defense, Immigration"
I would like our government to stop providing a safe haven to Fethullah Gulen  and I want him delivered to Turkey,"100,980","Civil Rights & Equality, Foreign Policy, Immigration"
"CHARGE Donald J. Trump, 18 U.S. Code § 2381 - TREASON","30,233","Foreign Policy, Homeland Security & Defense"
"Human Rights Violation by Hong Kong Government, request US Government impose int'l sanctions on HK and CHINA Government","20,238","Foreign Policy, Homeland Security & Defense, Immigration"
Stop construction of the Dakota Access Pipeline which endangers the water supply to Native American reservations.,"12,499","Civil Rights & Equality, Energy & Environment, Rural Policy"
STOP federal fumigation of 3.5 American citizens in Puerto Rico with pesticide Naled as effort to combat Zika virus.,"11,513","Civil Rights & Equality, Energy & Environment, Health Care"
Disavow support for the Clinton political dynasty. Disqualify and remove Hillary Clinton from 2016 Presidential Ballot,"10,889","Civil Rights & Equality, Government & Regulatory Reform, Homeland Security & Defense"
Free Artem Vaulin,"6,920","Homeland Security & Defense, Innovation: Arts & Technology, Technology & Innovation"
Remove Gunsmithing from ITAR.,"6,865","Budget & Taxes, Economy & Jobs, Homeland Security & Defense"
Grant Immediate Asylum to Gulen Followers in the U.S. or entering the U.S. Fleeing Turkey,"5,243","Civil Rights & Equality, Foreign Policy, Immigration"
CMS NEEDS TO ENSURE TRANSPARENCY IN ITS ROBUST BUSINESS RELATIONSHIP WITH THE LARGE PHARMACY BENEFIT MANAGERS (PBMS),"4,959","Government & Regulatory Reform, Health Care, Veterans & Military"
Honor fallen Border Patrol Agent Javier &quot;Harvey&quot; Vega Jr. for his sacrifice with a Line of Duty Death (LODD) designation,"4,085","Homeland Security & Defense, Immigration"
Request The Commission On Presidential Debates To Allow Gary Johnson And Jill Stein Into The Presidential Debates,"3,365",Government & Regulatory Reform
Have EA make Skate 4,"2,495","Innovation: Arts & Technology, Technology & Innovation"
Pick our Presidents with Paper,"2,465","Civil Rights & Equality, Government & Regulatory Reform, Technology & Innovation"
"Petition to nominate Paisley Park, residence and studio of Prince Rogers Nelson as a National Historic Landmark","2,460","Education, Innovation: Arts & Technology"
We need an independent investigation into the massive election fraud during the Democratic Primaries.,"2,410","Civil Rights & Equality, Government & Regulatory Reform"
We need an independent investigation into the massive election fraud during the Democratic Primaries.,"2,400","Civil Rights & Equality, Government & Regulatory Reform"
Rename the United States Navy Ship USS Harvey Milk to USS Harambe,"2,124","Civil Rights & Equality, Veterans & Military"
Immediately declare the flooding in Louisiana a federal disaster and send rescue and aid NOW!,"1,912","Civil Rights & Equality, Energy & Environment, Transportation & Infrastructure"
Lift Travel Restrictions on Syrian UN Amb. Jaafari; Reopen the Syrian Consulate; and Restore Full US-Syria Ties,"1,864","Civil Rights & Equality, Foreign Policy, Homeland Security & Defense"
Deployment of THAAD on South Korea is a necessary thing and we fully support this for national security and safety.,"1,818","Foreign Policy, Homeland Security & Defense"
Blue Light at the White House for Fallen Officers,"1,653","Criminal Justice Reform, Gun Violence, Urban Policy"
Petition to order the FBI and DOJ to investigate allegations of election fraud within the Democratic Primary.,"1,465","Criminal Justice Reform, Government & Regulatory Reform"
Have Every State in the United States to Require Photo Identification on Election Day.,"1,315",Government & Regulatory Reform
Create a Congressional Sub-Committee to Address the Employment Status of Workers in the “Gig Economy”,"1,292","Civil Rights & Equality, Economy & Jobs, Transportation & Infrastructure"
Referendum / Plebiscite for Disputed Region of the State of Jammu And Kashmir in 2017,"1,271","Foreign Policy, Gun Violence"
"Until the FBI fully investigates the hacking of DNC computers, the Trump Campaign must be denied intelligence briefings","1,238",Homeland Security & Defense
Apology for Abuses at US Indian Boarding Schools,"1,061",Civil Rights & Equality
We ask that President Barack Obama Grant Executive Clemency to  ROD BLAGOJEVICH.,"1,036",Criminal Justice Reform
Clemency for Jerry V.: Served 28yrs of his 55yr to life combined federal & state sentences for nonviolent drug crime,959,"Budget & Taxes, Criminal Justice Reform, Government & Regulatory Reform"
U. S. FOREIGN AFFAIRS COMMITTEE:  Please PASS H. Res. 752 to END China's Dog Meat Trade!,898,Foreign Policy
"Sanctions against Japan, the Faroe Islands and Denmark.",842,"Energy & Environment, Foreign Policy"
Deny Donald Trump national security briefings.,824,Foreign Policy
Save emails for next administration to prosecute WHITE GENOCIDE criminals,804,"Criminal Justice Reform, Homeland Security & Defense, Immigration"
#WeThePeople 's Preferred Candidate for Democratic Presidential Nomination,769,"Civil Rights & Equality, Economy & Jobs, Energy & Environment"
Remove the power of scheduling from the DEA.,745,"Civil Rights & Equality, Criminal Justice Reform, Government & Regulatory Reform"
The  USFWS must prosecute Walter Palmer,619,"Energy & Environment, Foreign Policy, Government & Regulatory Reform"
"Declare September 8th, a National Day of Celebration for 50 Years of Star Trek.",541,"Civil Rights & Equality, Innovation: Arts & Technology, Technology & Innovation"
